                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.65977,                0.78625,                 1.0183,                0.93766,                0.38802,                0.42131,                0.29264,                 1.8342,                 2.5001,                 1.5477,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.79221,                0.84609,                 1.3869,                0.93853,                0.38717,                0.42047,                0.29332,                 1.8084,                 2.5182,                 1.5148,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                  1.075,                 1.0385,                 1.5108,                0.93853,                0.38717,                0.42047,                0.29332,                 1.8084,                 2.5182,                 1.5148,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.58484,                0.64893,                0.97885,                0.93853,                0.38717,                0.42047,                0.29332,                 1.8084,                 2.5182,                 1.5148,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52508,                0.51177,                0.92954,                0.93853,                0.38717,                0.42047,                0.29332,                 1.8084,                 2.5182,                 1.5148,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.67478,                 0.7172,                0.95586,                0.94441,                 0.3877,                0.42022,                0.29203,                  1.806,                 2.5717,                 1.5047,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.41005,                 0.4755,                0.95571,                0.94441,                 0.3877,                0.42022,                0.29203,                  1.806,                 2.5717,                 1.5047,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54649,                0.53348,                0.88967,                0.94441,                 0.3877,                0.42022,                0.29203,                  1.806,                 2.5717,                 1.5047,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 0.4351,                0.49753,                0.93209,                0.94441,                 0.3877,                0.42022,                0.29203,                  1.806,                 2.5717,                 1.5047,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45233,                 0.4833,                0.97424,                0.94194,                0.38333,                0.41875,                0.29048,                 1.8311,                 2.6253,                 1.5483,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.67323,                0.69493,                 1.0241,                0.94194,                0.38333,                0.41875,                0.29048,                 1.8311,                 2.6253,                 1.5483,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 0.4827,                 0.5352,                0.91028,                0.94194,                0.38333,                0.41875,                0.29048,                 1.8311,                 2.6253,                 1.5483,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56186,                0.61549,                0.95626,                0.94194,                0.38333,                0.41875,                0.29048,                 1.8311,                 2.6253,                 1.5483,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46647,                0.49309,                0.97193,                0.94837,                0.38139,                0.41896,                0.28997,                 1.8044,                 2.6665,                 1.5073,             2.3444e-06,             2.3444e-06,             2.3444e-06
